tmdb_id,name,headquarters,homepage,logo_path,origin_country
113206,Celltrion Entertainment,"Seocho, Seoul, South Korea",http://www.dreamenm.com/,https://image.tmdb.org/t/p/original/wnsT1H4ofxm3YOO12lAUOr8edX.png,KR
66865,Human Nature,,,,
126468,Content Zium,"Mapo, Seoul, South Korea",,https://image.tmdb.org/t/p/original/bPL10u0CNVqmSovalrbcZiwWvre.png,KR
157262,TVING,"Mapo, Seoul",https://www.tving.com/,https://image.tmdb.org/t/p/original/cfMtt9sNl2bDyHuoPSZouEqDB9N.png,KR
86981,SLL,"Mapo, Seoul, South Korea",https://www.jtbcstudios.com/,https://image.tmdb.org/t/p/original/8FwCT7KohE031xFLBeRMZlbuzSr.png,KR
73111,Lee Ki-jin Media,,,,
147142,Blaad Studio,"Seocho, Seoul",,,KR
109936,Twon Media,,,,
7819,Lotte Entertainment,"Songpa, Seoul, South Korea",http://lotteent.com/Main/Main.asp,https://image.tmdb.org/t/p/original/ghFZAt4edln0M7BzDExyYMzUGX1.png,KR
133335,Studio 329,"Seongdong, Seoul, South Korea",http://www.studio329.net,,KR
125785,Gil Pictures,"Mapo, Seoul, South Korea",,https://image.tmdb.org/t/p/original/mKggf3wW57fHdffiOr9ItObOFYD.png,KR
68634,Samhwa Networks,"Gangnam, Seoul, South Korea",http://www.shnetworks.co.kr,,KR
112425,Perfect Storm Film,"Gangnam, Seoul, South Korea",,https://image.tmdb.org/t/p/original/2y7W6sMH5AtKjKnPDWJzKv1J4Xx.png,KR
45397,Daewon Productions,,,,KR
86982,DSP ENT,,,,
32393,KBS Films,,,,
179959,Slingshot Studios,,,,KR
97216,MBN,,,,
66404,IOK Media,"Gangnam, Seoul, South Korea",,,KR
19005,GnG Production,,,,
8881,Zak Productions,,,,
86764,Oh!Boy Project,"Jung, Seoul, South Korea",,,KR
182506,Shotcake,,,,
115714,Story & Pictures Media,"Jongno, Seoul",,,KR
82138,KP and SHOW,,,,
175015,KBS2,,,,
29249,JS Pictures,"Mapo, Seoul, South Korea",http://jspictures.tv,,KR
3484,Apollo Pictures,,,,
124754,Culture Depot,"Yongsan, Seoul, South Korea",http://www.culturedepot.kr/,https://image.tmdb.org/t/p/original/gnuXrjplOgln5rYNzfCS8j6SYs7.png,KR
115705,SBS Plus,"Mapo, Seoul, South Korea",http://sbsplus.sbs.co.kr,https://image.tmdb.org/t/p/original/yxTp5v8XKaBYvjHW6X5AMExEpV6.png,KR
9128,Dream Movie Entertainment Ltd.,,,,
168464,Iconix Entertainment,,,,
136382,Imagine Asia,,,,
181097,JAYE ENTERTAINMENT,"501 708, Yeongdong-daero, Gangnam-gu, Seoul, Korea",http://www.jaye.co.kr,,KR
99228,The Unicorn,,,,KR
106996,Studio & New,"Gangnam, Seoul, South Korea",http://its-new.co.kr/studio/,https://image.tmdb.org/t/p/original/2In7Heq6DuXDjOwPmJqHWkpohaL.png,KR
134892,AbemaTV,"Abema Towers, 40-1 Utagawa, Shibuya, Tokyo, 〒150-0042, Japan",https://abematv.co.jp/,https://image.tmdb.org/t/p/original/22MywpER0mpTWudpbLRmDUsrELH.png,JP
126602,See At Film,"Seongbuk, Seoul, South Korea",,,KR
127530,Studio Lico,,,,
63014,C-JeS Entertainment,"Gangnam, Seoul, South Korea",http://www.c-jes.com/New/,https://image.tmdb.org/t/p/original/fw6qEw1GXCKf6n51zwN7nJTG42S.png,KR
103875,RedPeter Film,"Mapo, Seoul, South Korea",,https://image.tmdb.org/t/p/original/b4VEWBV2hgvrXts7VlAcnkZTLwM.png,KR
115704,DK E&M,"Mapo, Seoul, South Korea",http://www.dkenm.com/,,KR
168322,WEMAD,,,,KR
118088,Urban Works Entertainment,,,,
172462,Contents Map,,,,KR
172530,Red Q,,https://www.youtube.com/channel/UCgPkdHArMPS2F8LjUrBKXqw,,KR
10675,Pan Entertainment,"Mapo, Seoul, South Korea",http://www.thepan.co.kr/,,KR
57289,Eight Works,"Gangnam, Seoul, South Korea",http://www.curoholdings.com/index.php,,KR
114519,Merry Christmas,"Gangnam, Seoul, South Korea",,https://image.tmdb.org/t/p/original/omfLDgUXKmXly7T7bWBpKstq3HP.png,KR
154303,Page One Film,,,,KR
110456,Annapurna Films,"Mapo, Seoul, South Korea",,,KR
85312,DRAMAcube,,,,
169457,XANADU Entertainment,,,,
149946,Seoul Movie,,,,
109896,Loen Entertainment,,,,
15975,KEYEAST,"Gangnam, Seoul",http://www.keyeast.co.kr,https://image.tmdb.org/t/p/original/ewSxMJt8IeFHSOqfyKn1scZoOur.png,KR
129223,eggiscoming,"Mapo, Seoul, South Korea",,,KR
