tmdb_id,name,original_name,keywords,airing_date,poster_img_url,background_img_url,directors,cast,genres,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,next_episode_to_air,next_episode_air_date,origin_country,networks,production_companies
154891,Woori The Virgin,우리는 오늘부터,"virgin, detective, pregnancy, romance, remake, heir, mother daughter relationship, unexpected pregnancy",2022-05-09,https://image.tmdb.org/t/p/w500/vYbah2lzD3kVqk9dTLPOF2GlZXa.jpg,https://image.tmdb.org/t/p/original/ewRZUs1o29bf49Y3A9gFqY4lYUS.jpg,Jeong Jeong-hwa,"Im Soo-hyang, Sung Hoon, Hong Ji-yoon, Shin Dong-Wook, Hong Eun-hee, Kim Sa-Kwon, Ahn Shin-woo","Comedy, Drama",1.0,14.0,63.0,"A romantic comedy about a woman  Oh Woo Ri, who intended to remain chaste until marriage, accidentally winds up pregnant while undergoing a medical examination.",119.471,7.4,15.0,,,KR,SBS,"Group Eight, Studio S"
133091,My Sweet Dear,마이스윗디어,"restaurant, rivalry, co-workers relationship, chef, lgbt",2021-10-21,https://image.tmdb.org/t/p/w500/bi5xTUjzpe03ABXTZAq6oiPBwPQ.jpg,https://image.tmdb.org/t/p/original/pxz8dckoeMxEhzCMoTBpiFjRVlg.jpg,,"Jang Eui-soo, Lee Chan-hyung, Jang Do-yoon, Jo Seo-hoo, Oh Seung-jun",Drama,1.0,8.0,15.0,"A youthful romance set in a restaurant between an extraordinary genius chef, Choi Jung Woo and Laura Dining's head chef, Yoon Do Geon.",99.296,4.8,5.0,,,KR,"Viki, LINE TV, WeTV",Rakuten Viki
106651,Hellbound,지옥,"hell, cult, based on cartoon, supernatural creature, based on webcomic or webtoon, seoul, south korea",2021-11-19,https://image.tmdb.org/t/p/w500/5NYdSAnDVIXePrSG2dznHdiibMk.jpg,https://image.tmdb.org/t/p/original/ikN8ABD9pXHuW4JFqTEHr3ae8rd.jpg,Yeon Sang-ho,"Yoo Ah-in, Kim Hyun-joo, Park Jeong-min, Won Jin-a, Yang Ik-june, Kim Do-yoon, Kim Shin-rok, Ryu Kyung-soo, Lee Re","Drama, Crime, Sci-Fi & Fantasy",2.0,6.0,52.0,"Unearthly beings deliver bloody condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of divine justice.",98.723,7.512,684.0,,,KR,Netflix,Climax Studios
197067,Extraordinary Attorney Woo,이상한 변호사 우영우,"court case, court, autism, lawyer, courtroom, law firm, father daughter relationship, slight romance, nice male lead, smart female lead",2022-06-29,https://image.tmdb.org/t/p/w500/zuNOQVI4rEaqwknrfQUVKtlKE2C.jpg,https://image.tmdb.org/t/p/original/lfQnJr9ugRKtl3vhG6IfOOAhN8s.jpg,Yoo In-sik,"Park Eun-bin, Kang Tae-oh, Kang Ki-young, Jeon Bae-soo, Baek Ji-won, Jin Kyung, Ha Yoon-kyung, Joo Jong-hyuk, Joo Hyun-young, Im Sung-jae","Drama, Comedy",1.0,16.0,70.0,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,92.977,8.321,376.0,,,KR,"Netflix, ENA","AStory, KT Studio Genie"
129478,The King's Affection,연모,"love triangle, based on comic, romance, teacher, cross dressing, historical fiction, twins, historical, first love, child abandonment, hidden identity, joseon dynasty, gender bender",2021-10-11,https://image.tmdb.org/t/p/w500/2Qim2grFzfNJ4h3QSTzxi8CsKdG.jpg,https://image.tmdb.org/t/p/original/4r7scgI5aUrShN0YzriAatWd15e.jpg,,"Park Eun-bin, Rowoon, Nam Yoon-su, Bae Yoon-kyung, Choi Byung-chan, Lee Pil-mo, Baek Hyun-joo, Go Gyu-pil, Jung Chae-yeon, Bae Soo-bin, Han Chae-ah, Yoon Je-moon, Son Yeo-eun, Lee Il-hwa, Kim Seo-ha, Heo Jung-min, Park Won-sang, Jung Jae-sung, Jang Se-Hyun, Lee Soo-min, Choi Myeong-bin, Ko Woo-rim, Choi Ro-woon, Kim Geon, Kim Taek",Drama,1.0,20.0,70.0,"When the crown prince is killed, his twin sister assumes the throne while trying to keep her identity and affection for her first love a royal secret.",84.549,8.411,196.0,,,KR,KBS2,"Monster Union, Arc Media"
155226,Big Mouth,빅마우스,"greed, investigation, secret organization, film noir, murder, conspiracy, lawyer, mysterious killer, mysterious death, mysterious messages, mysterious figure",2022-07-29,https://image.tmdb.org/t/p/w500/gJDvYUJcPEDJzB3SnQokifPUtRF.jpg,https://image.tmdb.org/t/p/original/t5jnpVVWQBnl8B23bx3ijGCHt5L.jpg,,"Lee Jong-suk, Yoona, Yang Kyung Won, Kim Ju-hun, Kwak Dong-yeon, Ok Ja-yeon, Lee Ki-young, Oh Eui-sik","Mystery, Drama, Crime",1.0,16.0,68.0,"A lawyer, caught up in a murder case, becomes a notorious and genius con artist overnight, in order to fight against a huge conspiracy and survive.",79.343,8.2,35.0,,,KR,MBC,"Studio Dragon, AStory"
93490,My Country: The New Age,나의 나라,"friendship, romance, king, political intrigue , historical drama, joseon dynasty, goryeo dynasty",2019-10-04,https://image.tmdb.org/t/p/w500/dU6JSuUSy2ZkWdlMUKzkJjhqtKD.jpg,https://image.tmdb.org/t/p/original/37BaVWwZAAmjlOSoCeA1TqL0uyo.jpg,,"Yang Se-jong, Woo Do-hwan, Kim Seol-hyun, Kim Yeong-cheol, Park Ye-jin, Yu Oh-seong, Jang Young-nam, Ji Seung-hyun, In Gyo-jin","Drama, Action & Adventure",1.0,16.0,70.0,"Set during the turbulent time of the fall of Goryeo and the founding of Joseon, two former friends face-off against one another over a woman and the future shape of the nation.",76.437,7.6,25.0,,,KR,"Netflix, JTBC","SLL, Celltrion Entertainment"
134465,Crazy Love,크레이지 러브,"romance, revenge, ceo, pretend relationship",2022-03-07,https://image.tmdb.org/t/p/w500/2N5Bixu3UQEONjDECicFqssCkxg.jpg,https://image.tmdb.org/t/p/original/z9NgxMBg6BCmLVfjawtnQwsOVh9.jpg,Kim Jung-hyun,"Kim Jae-wook, Krystal Jung, Yoo In-young, Ha Jun, Yoon San-ha, Park Han-sol, Im Won-hee, Kim Hak-sun, Lee Si-eon, Jung Sung-ho, Kim Ki-Nam, Back Joo-hee, Lee Mi-young, Joe In, Yoon Hye-ree, Go Gyu-pil","Drama, Comedy",1.0,16.0,70.0,"No Go Jin is the most popular mathematics instructor in the private education field and the CEO of GOTOP Education. Even though he has only a high school level education, he has achieved all of his success due to his extreme intelligence. He seems like a perfect man with a handsome appearance, high IQ, and wealth. He is also narcissistic. One day, he is suddenly warned that he will be murdered.

Lee Shin A works as No Go Jin’s secretary. She is a diligent and responsible employee. Due to her quiet and introverted personality, she has little presence with her boss No Go Jin and her colleagues at work. Her colleagues begin to recognize her, because she has worked for the notorious No Go Jin for more than 1 year. She then learns that she does not have much time left to live.",73.785,7.35,20.0,,,KR,KBS2,Arc Media
135157,Alchemy of Souls,환혼,"martial arts, assassin, magic, prince, secret organization, body exchange, romance, transmigration, female assassin, martial arts master, historical, wizard, soul transference, master disciple relationship, magical powers, multiple main characters, assassin female lead, birth secret, prince male lead",2022-06-18,https://image.tmdb.org/t/p/w500/q2IiPRSXPOZ6qVRj36WRAYEQyHs.jpg,https://image.tmdb.org/t/p/original/pj3zCnPXI5Bh3lblZAgfzWUAn5v.jpg,,"Lee Jae-Wook, Minhyun, Shin Seung-ho, Go Youn-jung","Drama, Action & Adventure, Mystery, Sci-Fi & Fantasy",2.0,30.0,74.0,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",73.545,8.682,168.0,1.0,2022-12-10,KR,tvN,Studio Dragon
133678,Once Upon a Small Town,어쩌다 전원일기,based on novel or book,2022-09-05,https://image.tmdb.org/t/p/w500/om5RqlMYD5LRNEkSkpNrn6W9rqo.jpg,https://image.tmdb.org/t/p/original/bdkfBz4waYCe3DsgLMMHsgQGw8R.jpg,Kwon Seok-jang,"Joy, Choo Young-woo, Baek Sung-chul, Baek Ji-won, Jeong Seok-yong, Roh Jae-won, Park Ye-ni, Ha Yul-Ri, Na Chul, Park Ji-a, Kim Young-Sun",Drama,1.0,12.0,36.0,"Against his wishes a veterinarian from the big city relocates to the countryside, where he meets a policewoman, a town insider with a friendly secret.",68.629,8.313,16.0,,,KR,"Netflix, Kakao TV",Kakao Entertainment
