tmdb_id,name,original_name,keywords,airing_date,poster_img_url,background_img_url,directors_ids,cast_ids,genres_ids,number_of_seasons,number_of_episodes,episode_run_time,synopsis,popularity,average_rating,rating_count,next_episode_to_air,next_episode_air_date,origin_country,networks_ids,production_companies_ids
14680,H.I.T,히트,,2007-03-19,https://image.tmdb.org/t/p/w500/t2eFyG66u0KFYQrXnLFfZ9fCNLA.jpg,https://image.tmdb.org/t/p/original/rn5HNeneJB8alGnjEaDwdR9d6Fw.jpg,,"1245069, 75913, 1686201, 1024395, 1015873, 63446, 564862, 1333419, 1257669, 1089693, 1350087, 1244799","80, 18, 9648",1.0,20.0,60.0,"H.I.T, also known as Homicide Investigation Team, is a 2007 South Korean television series starring Go Hyun-jung, Ha Jung-woo, Kim Jung-min, and Yoon Ji-min. It aired on MBC from March 19 to May 22, 2007 on Mondays and Tuesdays at 21:55 for 20 episodes. A police procedural crime drama that integrated crime scene analysis with action, suspense, and romance, H.I.T represented a departure from the usual Korean drama subjects of love and relationships.",4.645,6.0,1.0,,,KR,97,
80389,Your House Helper,당신의 하우스헬퍼,"sexual harassment, maid, cleaner, misogyny, healing, women's health, cleaning, problem solver, based on webcomic or webtoon",2018-07-04,https://image.tmdb.org/t/p/w500/2YQzcqpf2LeO0NePjWe9giBApZO.jpg,https://image.tmdb.org/t/p/original/aA5vFrttvv48Ooxn2mZDQu7Kl21.jpg,,"105409, 1881078, 1496155, 1442580, 1690348, 1575015, 2071281, 552069, 1060560, 509648, 1574624, 2122175, 2122177, 17127, 1918349, 123339","35, 18",1.0,32.0,30.0,"Kim Ji-Woon was born to a lawmaker father and doctor mother. He then went on to work at a big company, but he quit his job and stopped talking to his parents. Kim Ji-Woon meets a woman and begins to work as a housekeeper at her home. While doing his job, he listens to his customer's worries and gives advice to help them solve their problems.",4.642,7.2,10.0,,,KR,342,64888
48675,Ad Genius Lee Tae-baek,광고천재 이태백,,2013-02-04,https://image.tmdb.org/t/p/w500/lhwOX4yn5ZGcsC6eWlorTIIPHjW.jpg,https://image.tmdb.org/t/p/original/cyMh4De42dwZ7ah56r5QshjeBWx.jpg,,"1299287, 125730, 1226340, 1235716, 1258625, 1258626, 150697, 1258624, 2351845, 2128181","18, 10749",1.0,16.0,60.0,Drama series depicts the lives and love of people working in the advertisement industry.,4.642,8.625,4.0,,,KR,342,110706
56896,Dangerous Women,위험한 여자,,2011-10-10,https://image.tmdb.org/t/p/w500/tagLLTBzJ0MxCD1N29JfHL9LUU9.jpg,,,"1349366, 1239675, 552071, 578818, 548070, 573791",18,1.0,123.0,40.0,"Dangerous Women is a 2011 South Korean television series starring Go Eun-mi, Hwang Bo-ra, Kim Jung-hyun, and Yeo Hyun-soo. The morning soap opera aired on MBC on Mondays to Fridays at 7:50 a.m. from October 10, 2011 to March 30, 2012 for 124 episodes.",4.631,,,,,KR,97,
13733,Something Happened in Bali,발리에서 생긴 일,,2004-01-03,https://image.tmdb.org/t/p/w500/rT4OJshy8PoZKYdXZV3exOSPYtb.jpg,https://image.tmdb.org/t/p/original/alrVkWiYWDuZC9oZNRViUSBoseU.jpg,,"83220, 127564, 932821, 428960, 1257619",18,1.0,20.0,60.0,"Soo Jung grew up poorly with her brother, Jang Soo who’s a walking disaster, after losing both of her parents at a young age. Meanwhile, Jae Min is the son of a conglomerate family, but he’s always been afraid of living under his father’s shadow. He gets engaged to Young Joo, who’s also a daughter of a rich family like him.",4.604,,,,,KR,156,125444
73665,Girls' Generation 1979,란제리 소녀시대,"high school, adolescence, 1970s, romance, coming of age, student, adapted from a novel",2017-09-11,https://image.tmdb.org/t/p/w500/AnzdJ591Vxqq9jik62edqFW0KQf.jpg,https://image.tmdb.org/t/p/original/j6FrNLzhc54VZrNUu95F4sqSnec.jpg,,"1619436, 1255878, 1256497, 1704081, 1386418, 1881078, 1953455, 2122466",18,1.0,8.0,60.0,"Story is set in Daegu, South Korea during the 1970's. Lee Jung-Hee is in the 2nd grade of high school. She has a bright personality and is the second daughter of a family who runs a toy factory. She and her friends go through adolescence.",5.026,7.3,3.0,,,KR,342,"83915, 111327"
135605,Uncle,엉클,"musician, family relationships, remake, betrayal, family, uncle nephew relationship, sitcom, unemployed",2021-12-11,https://image.tmdb.org/t/p/w500/vKoeRYra3pIQZ0nuFG1ac3JWiI3.jpg,https://image.tmdb.org/t/p/original/jJOtdx5WXVjrYx3kz0eKi74K9EV.jpg,,"998412, 3040079, 150126, 545757, 570549, 462583","18, 35",1.0,16.0,69.0,"Joon Hyeok is an unpopular musician whose life has hit rock bottom. He had already broken off his relationship with his older sister, Joon Hee, when her son appeared before him. His nephew developed Obsessive–compulsive disorder after his mother divorced his stepfather. Joon Hyeok takes his nephew in and looks after him. Joon Hee divorced her physically abusive husband after 12 years of marriage.  She moved into an inexpensive apartment and now faces losing custody of her son to her ex-husband and his mother.",4.592,7.0,5.0,,,KR,903,116360
137215,IDOL: The Coup,IDOL [아이돌 : The Coup],idol group,2021-11-08,https://image.tmdb.org/t/p/w500/r7wfG1EjFVl57xM9MgqcRxBzuYN.jpg,https://image.tmdb.org/t/p/original/3Nshiwum4WKdbc66vkNls2kYO7e.jpg,,"1834433, 1875691, 1875788, 2784956, 3288635, 1547209, 2933047, 3288637, 2523800, 2919806, 2396062",18,1.0,12.0,72.0,Portrays the last story of “doomed idols” who need a single “success” in order to “disband.” The story of young people who confidently let go of their dreams as they grow through their failures and take courageous steps towards their new goals.,4.58,9.2,5.0,,,KR,"885, 1330",
118400,"When I Woke Up, I Became a Bagel Girl!",어느 날 잠에서 깨어보니 베이글녀가 되어 있었다,,2019-11-21,https://image.tmdb.org/t/p/w500/drPIJqMh8SNkkJJi9gIpU3AS1p5.jpg,https://image.tmdb.org/t/p/original/eIIxbObJc1Xp1MuLjWhhiFcNIzN.jpg,,,"18, 35",1.0,15.0,12.0,"This is the profile of our main character (Jeong Bong-gi) who collects the Anime girls figure as a hobby, plays games when he comes home after a part-time job, and complaints (which can’t in front of others).

One day he fell asleep after a normal routine. And then Next morning, suddenly he wakes up as a Bagel girl (woman with baby face and glamorous body)! He was embarrassed by the sudden change for a moment, he meets a cute and cheerful girl(Han se-mi) in an online chatroom and gets help. The days meeting many people, avenging himself on those who had ignored him and getting more used to being a woman. At that time, he meets Han Sang-woo, who once thought he was a friend, but destroyed his life.",4.57,,,,,KR,"2498, 3908",129172
13962,90 Days of Love,"90일, 사랑할 시간",romance,2006-11-15,https://image.tmdb.org/t/p/w500/c8BzTV6zc0Ng5FnVCyUpHrp2uY4.jpg,https://image.tmdb.org/t/p/original/9j6LmgHSS7bqM4AKR6wkGpzXnrf.jpg,,,18,1.0,16.0,60.0,"Hyun Ji-seok, a university professor, and Go Mi-yeon, a scriptwriter, were high school sweethearts, who discover that they are cousins. They break up, but find themselves attracted to one other once again when they meet in Seoul four years later.",4.085,,,,,KR,97,
